skill_id:ID,skill_name,aliases[],:LABEL
7670,mcsd azure solutions architect,mcsd azure solutions architect,SKILL
7671,var systems integrator,var systems integrator,SKILL
7672,aws certified solutions architect,aws certified solutions architect,SKILL
7673,application lifecycle management,application lifecycle management,SKILL
7674,video or codec,video or codec,SKILL
7675,anddct,anddct,SKILL
7676,35 years of linux administration,35 years of linux administration,SKILL
7677,and drivers,and drivers,SKILL
7678,modules,modules,SKILL
7679,knowledge of linux kernels,knowledge of linux kernels,SKILL
7680,it recruiting,it recruiting,SKILL
7681,technical recruiting,technical recruiting,SKILL
7682,techno commercial evaluation,techno commercial evaluation,SKILL
7683,implementation roadmap,implementation roadmap,SKILL
7684,technical and business processes research,technical and business processes research,SKILL
7685,oop design principles,oop design principles,SKILL
7686,mvc architecture,mvc architecture,SKILL
7687,unified contact center express,unified contact center express,SKILL
7688,cisco unity connection,cisco unity connection,SKILL
7689,enum,enum,SKILL
7690,financial product knowledge,financial product knowledge,SKILL
7691,uat test,uat test,SKILL
7692,charles river,charles river,SKILL
7693,bloomberg aim,bloomberg aim,SKILL
7694,and datamining strongly preferred,and datamining strongly preferred,SKILL
7695,code review,code review,SKILL
7696,application security,application security;web application security,SKILL
7697,threat modeling,threat modeling;threat model,SKILL
7698,payment,payment,SKILL
7699,ivr cti call flows,ivr cti call flows,SKILL
7700,telecom provisioning,telecom provisioning,SKILL
7701,python developer,python developer,SKILL
7702,python frame works,python frame works,SKILL
7703,python programmer,python programming;python programmer,SKILL
7704,"engineering psychology, interaction design","engineering psychology, interaction design",SKILL
7705,develop information,develop information,SKILL
7706,graphic design,graphic design;graphic design,SKILL
7707,designthorough,designthorough,SKILL
7708,digital media,digital media;digital media and,SKILL
7709,industrial design,industrial design,SKILL
7710,human-computer interaction,human computer interaction;human-computer interaction,SKILL
7711,24x7,24x7,SKILL
7712,spring frameworks,spring frameworks;spring framework,SKILL
7713,html sql,html sql,SKILL
7714,key skills are java j2ee,key skills are java j2ee,SKILL
7715,xml jsp,xml jsp,SKILL
7716,sap hcm functional,sap hcm functional,SKILL
7717,sap ma merger and acquisition,sap ma merger and acquisition,SKILL
