:START_ID,:START_ID,:END_ID,:TYPE
632,632,1,HAS_FUTURE
636,636,1,HAS_FUTURE
642,642,1,HAS_FUTURE
645,645,1,HAS_FUTURE
648,648,1,HAS_FUTURE
652,652,1,HAS_FUTURE
655,655,1,HAS_FUTURE
672,672,1,HAS_FUTURE
673,673,1,HAS_FUTURE
681,681,1,HAS_FUTURE
683,683,1,HAS_FUTURE
685,685,1,HAS_FUTURE
686,686,1,HAS_FUTURE
687,687,1,HAS_FUTURE
689,689,1,HAS_FUTURE
691,691,1,HAS_FUTURE
692,692,1,HAS_FUTURE
697,697,1,HAS_FUTURE
704,704,1,HAS_FUTURE
706,706,1,HAS_FUTURE
708,708,1,HAS_FUTURE
710,710,1,HAS_FUTURE
713,713,1,HAS_FUTURE
722,722,1,HAS_FUTURE
723,723,1,HAS_FUTURE
728,728,1,HAS_FUTURE
732,732,1,HAS_FUTURE
742,742,1,HAS_FUTURE
745,745,1,HAS_FUTURE
748,748,1,HAS_FUTURE
752,752,1,HAS_FUTURE
756,756,1,HAS_FUTURE
774,774,1,HAS_FUTURE
779,779,1,HAS_FUTURE
780,780,1,HAS_FUTURE
783,783,1,HAS_FUTURE
785,785,1,HAS_FUTURE
792,792,1,HAS_FUTURE
795,795,1,HAS_FUTURE
796,796,1,HAS_FUTURE
797,797,1,HAS_FUTURE
798,798,1,HAS_FUTURE
799,799,1,HAS_FUTURE
800,800,1,HAS_FUTURE
801,801,1,HAS_FUTURE
802,802,1,HAS_FUTURE
803,803,1,HAS_FUTURE
806,806,1,HAS_FUTURE
808,808,1,HAS_FUTURE
810,810,1,HAS_FUTURE
811,811,1,HAS_FUTURE
813,813,1,HAS_FUTURE
815,815,1,HAS_FUTURE
818,818,1,HAS_FUTURE
820,820,1,HAS_FUTURE
823,823,1,HAS_FUTURE
828,828,1,HAS_FUTURE
829,829,1,HAS_FUTURE
832,832,1,HAS_FUTURE
834,834,1,HAS_FUTURE
837,837,1,HAS_FUTURE
845,845,1,HAS_FUTURE
846,846,1,HAS_FUTURE
849,849,1,HAS_FUTURE
850,850,1,HAS_FUTURE
851,851,1,HAS_FUTURE
852,852,1,HAS_FUTURE
854,854,1,HAS_FUTURE
857,857,1,HAS_FUTURE
860,860,1,HAS_FUTURE
861,861,1,HAS_FUTURE
865,865,1,HAS_FUTURE
867,867,1,HAS_FUTURE
877,877,1,HAS_FUTURE
887,887,1,HAS_FUTURE
892,892,1,HAS_FUTURE
895,895,1,HAS_FUTURE
900,900,1,HAS_FUTURE
901,901,1,HAS_FUTURE
902,902,1,HAS_FUTURE
904,904,1,HAS_FUTURE
905,905,1,HAS_FUTURE
909,909,1,HAS_FUTURE
911,911,1,HAS_FUTURE
917,917,1,HAS_FUTURE
921,921,1,HAS_FUTURE
924,924,1,HAS_FUTURE
925,925,1,HAS_FUTURE
926,926,1,HAS_FUTURE
927,927,1,HAS_FUTURE
936,936,1,HAS_FUTURE
941,941,1,HAS_FUTURE
942,942,1,HAS_FUTURE
944,944,1,HAS_FUTURE
945,945,1,HAS_FUTURE
970,970,1,HAS_FUTURE
985,985,1,HAS_FUTURE
996,996,1,HAS_FUTURE
997,997,1,HAS_FUTURE
998,998,1,HAS_FUTURE
1014,1014,1,HAS_FUTURE
6,6,2,HAS_FUTURE
7,7,2,HAS_FUTURE
9,9,2,HAS_FUTURE
12,12,2,HAS_FUTURE
16,16,2,HAS_FUTURE
18,18,2,HAS_FUTURE
24,24,2,HAS_FUTURE
30,30,2,HAS_FUTURE
33,33,2,HAS_FUTURE
34,34,2,HAS_FUTURE
37,37,2,HAS_FUTURE
48,48,2,HAS_FUTURE
49,49,2,HAS_FUTURE
50,50,2,HAS_FUTURE
70,70,2,HAS_FUTURE
71,71,2,HAS_FUTURE
72,72,2,HAS_FUTURE
73,73,2,HAS_FUTURE
74,74,2,HAS_FUTURE
76,76,2,HAS_FUTURE
77,77,2,HAS_FUTURE
80,80,2,HAS_FUTURE
86,86,2,HAS_FUTURE
87,87,2,HAS_FUTURE
90,90,2,HAS_FUTURE
92,92,2,HAS_FUTURE
99,99,2,HAS_FUTURE
103,103,2,HAS_FUTURE
105,105,2,HAS_FUTURE
106,106,2,HAS_FUTURE
107,107,2,HAS_FUTURE
108,108,2,HAS_FUTURE
109,109,2,HAS_FUTURE
111,111,2,HAS_FUTURE
120,120,2,HAS_FUTURE
121,121,2,HAS_FUTURE
126,126,2,HAS_FUTURE
127,127,2,HAS_FUTURE
129,129,2,HAS_FUTURE
130,130,2,HAS_FUTURE
131,131,2,HAS_FUTURE
133,133,2,HAS_FUTURE
134,134,2,HAS_FUTURE
135,135,2,HAS_FUTURE
137,137,2,HAS_FUTURE
140,140,2,HAS_FUTURE
141,141,2,HAS_FUTURE
145,145,2,HAS_FUTURE
146,146,2,HAS_FUTURE
